Undergrade University,Undergrade CGPA,Undergrade Department,IELTS/TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
IUT,3.15,CEE,113,316,1,0,2,A
IUT,3.15,CEE,113,316,1,0,2,A
BUP,3.5,MEDICINE,101,0,1,0,1,C
BUP,3.5,MEDICINE,101,0,1,0,1,A
BUP,3.5,MEDICINE,101,0,1,0,1,A
BUP,3.5,MEDICINE,101,0,1,0,1,A
BUP,3.5,MEDICINE,101,0,1,0,1,A
BUP,3.5,MEDICINE,10-Apr,0,1,0,1,A
BUP,3.5,MEDICINE,101,0,1,0,1,C
DU,3.57,OTHER,92,296,0,0,0,D
DU,3.57,OTHER,92,296,0,0,0,D
DU,3.57,OTHER,92,296,0,0,0,C
DU,3.57,OTHER,92,296,0,0,0,A
DU,3.57,OTHER,92,296,0,0,0,D
KUET,3.49,URP,109,307,1,0,0,C
KUET,3.49,URP,109,307,1,0,0,D
KUET,3.49,URP,109,307,1,0,0,B
KUET,3.49,URP,109,307,1,0,0,A
KUET,3.49,URP,109,307,1,0,0,B
DU,3.65,BBA,96,314,1,1,1.8,D
DU,3.65,BBA,96,314,1,1,1.8,D
DU,3.65,BBA,96,314,1,1,1.8,D
DU,3.65,OTHER,101,317,0,0,1,C
DU,3.65,OTHER,101,317,0,0,1,A
DU,3.65,OTHER,101,317,0,0,1,D
RUET,3.31,ME,100,313,0,0,0.3,D
RUET,3.31,ME,100,313,0,0,0.3,C
KUET,3.29,EEE,90,315,2,3,1.5,D
KUET,3.29,EEE,90,315,2,3,1.5,D
KUET,3.29,EEE,90,315,2,3,1.5,D
BUET,3.52,OTHER,98,306,1,1,0,A
BUET,3.52,OTHER,98,306,1,1,0,D
BUET,3.52,OTHER,98,306,1,1,0,C
BUET,3.52,OTHER,98,306,1,1,0,D
EWU,3.6, BBA,101,324,0,0,3,A
AIUB,3.39,CSE,0,314,1,0,3,D
AIUB,3.39,CSE,0,314,1,0,3,B
AIUB,3.39,CSE,0,314,1,0,3,D
BUET,3.39,CEE,97,305,0,0,0,C
BUET,3.39,CEE,97,305,0,0,0,A
BUET,3.39,CEE,97,305,0,0,0,D
CU,3.42,TE,96,310,0,0,4,C
CU,3.42,TE,96,310,0,0,4,D
CU,3.42,TE,96,310,0,0,4,C
CU,3.42,TE,96,310,0,0,4,C
DU,3.29,SWE,108,319,1,0,4,B
DU,3.29,SWE,108,319,1,0,4,A
DU,3.29,SWE,108,319,1,0,4,A
DU,3.29,SWE,108,319,1,0,4,B
DU,3.29,SWE,108,319,1,0,4,B
DU,3.06,MATH,99,331,0,0,0.3,C
DU,3.06,MATH,99,331,0,0,0.3,D
DU,3.06,MATH,99,331,0,0,0.3,C
DU,3.06,MATH,99,331,0,0,0.3,A
DU,3.06,MATH,99,331,0,0,0.3,C
DU,3.06,MATH,99,331,0,0,0.3,C
IUT,3.62,CSE,101,313,6,0,2.5,C
IUT,3.85, CSE,93,310,0,1,1.5,A
OTHER,3.45,TE,104,308,2,0,5,D
OTHER,3.45,TE,104,308,2,0,5,B
OTHER,3.45,TE,104,308,2,0,5,A
OTHER,3.45,TE,104,308,2,0,5,C
DU,3.11,PHYSICS,86,318,0,0,0,A
DU,3.11,PHYSICS,86,318,0,0,0,D
DU,3.11,PHYSICS,86,318,0,0,0,D
DU,3.11,PHYSICS,86,318,0,0,0,D
SUST,3.15,EEE,113,316,2,3,0,C
SUST,3.15,EEE,113,316,2,3,0,C
SUST,3.15,EEE,113,316,2,3,0,C
SUST,3.15,EEE,113,316,2,3,0,C
SUST,3.15,EEE,113,316,2,3,0,C
IUT,3.61,CEE,105,304,7,3,2,D
IUT,3.61,CEE,105,304,7,3,2,C
IUT,3.61,CEE,105,304,7,3,2,D
IUT,3.61,CEE,105,304,7,3,2,A
IUT,3.61,CEE,105,304,7,3,2,C
IUT,3.61,CEE,105,304,7,3,2,C
IUT,3.61,CEE,105,304,7,3,2,C
IUT,3.61,CEE,105,304,7,3,2,D
IUT,3.61,CEE,105,304,7,3,2,D
BUET,3.83,CSE,112,327,1,0,1.6,A
RUET,3.41,EEE,104,315,1,0,0.9,A
BUET,2.98,WRE,101,305,6,3,3.5,D
CUET,3.84,EEE,103,320,3,0,0.1,A
CUET,3.84,EEE,103,320,3,0,0.1,D
KUET,3.65,URP,100,314,1,0,1,A
KUET,3.65,URP,100,314,1,0,1,B
KUET,3.65,URP,100,314,1,0,1,B
KUET,3.65,URP,100,314,1,0,1,C
KUET,3.65,URP,100,314,1,0,1,C
BUET,3.74,EEE,105,215,3,4,2,B
BUET,3.74,EEE,105,215,3,4,2,A
BRAC,3.64,CSE,113,310,1,0,0.3,C
BRAC,3.64,CSE,113,310,1,0,0.3,A
BRAC,3.64,CSE,113,310,1,0,0.3,A
AIUB,3.81,CSE,113,318,1,2,0,A
DU,3.71,BBA,87,315,0,0,0.6,B
CUET,3.46,PME,88,312,2,1,0,C
OTHER,2.93,PHARMACY,0,308,10,0,0,B
BUET,3.81,EEE,109,322,2,1,0.95,A
BUET,3.81,EEE,109,322,2,1,0.95,A
BUET,3.81,EEE,109,322,2,1,0.95,A
BUET,3.08,CHEMICAL,107,319,0,0,0.3,C
OTHER,3.95,BBA,101,312,0,1,0,D
OTHER,3.95,BBA,101,312,0,1,0,D
KUET,3.58,EEE,117,325,0,0,0,A
KUET,3.58,EEE,117,325,0,0,0,B
KUET,3.58,EEE,117,325,0,0,0,B
BUET,3.82,ME,96,315,0,0,0.6,B
BUET,3.82,ME,96,315,0,0,0.6,D
KUET,3.29,EEE,90,315,2,3,1.5,D
KUET,3.29,EEE,90,315,2,3,1.5,D
KUET,3.59,EEE,103,317,4,0,2,B
KUET,3.59,EEE,103,317,4,0,2,C
KUET,3.59,EEE,103,317,4,0,2,B
SUST,3.85,CSE,90,315,1,0,5,C
BUET,3.13,CEE,94,308,1,0,2,B
BUET,3.13,CEE,94,308,1,0,2,A
BUET,3.13,CEE,94,308,1,0,2,D
BUET,3.6,CHEMICAL,84,314,5,1,0,B
BUET,3.6,CHEMICAL,84,314,5,1,0,B
BUET,3.93,EEE,108,320,0,0,0.8,A
KU,3.5, CSE,113,314,0,0,0.95,A
SUST,3.81,CSE,82,317,2,0,3,C
CU,3.4,PHYSICS,103,330,2,0,2,C
 BUET,3.87, EEE,109,298,0,0,4,A
KUET,3.59,EEE,103,0,0,1,2,B
KUET,3.59,EEE,103,0,0,1,2,C
MIST,3.57,AE,93,306,4,1,25,D
MIST,3.57,AE,93,306,4,1,25,D
MIST,3.14,AE,105,307,8,0,0.7,B
MIST,3.14,AE,105,307,8,0,0.7,A
MIST,3.14,AE,105,307,8,0,0.7,D
MIST,3.14,AE,105,307,8,0,0.7,C
MIST,3.14,AE,105,307,8,0,0.7,C
SEU,3.9,ETE,100,315,1,0,7,B
AIUB,3.81,CSE,113,318,1,2,0,A
DU,3.71,BBA,87,315,0,0,0.6,B
CUET,3.46,PME,88,312,2,1,0,C
OTHER,2.93,PHARMACY,0,308,10,0,0,B
BUET,3.81,EEE,109,322,2,1,0.95,A
BUET,3.81,EEE,109,322,2,1,0.95,A
BUET,3.81,EEE,109,322,2,1,0.95,A
BUET,3.08,CHEMICAL,107,319,0,0,0.3,C
OTHER,3.95,BBA,101,312,0,1,0,D
OTHER,3.95,BBA,101,312,0,1,0,D
KUET,3.58,EEE,117,325,0,0,0,A
KUET,3.58,EEE,117,325,0,0,0,B
KUET,3.58,EEE,117,325,0,0,0,B
BUET,3.82,ME,96,315,0,0,0.6,B
BUET,3.82,ME,96,315,0,0,0.6,D
KUET,3.29,EEE,90,315,2,3,1.5,D
KUET,3.29,EEE,90,315,2,3,1.5,D
KUET,3.59,EEE,103,317,4,0,2,B
KUET,3.59,EEE,103,317,4,0,2,C
KUET,3.59,EEE,103,317,4,0,2,B
SUST,3.85,CSE,90,315,1,0,5,C
BUET,3.13,CEE,94,308,1,0,2,B
BUET,3.13,CEE,94,308,1,0,2,A
BUET,3.13,CEE,94,308,1,0,2,D
BUET,3.6,CHEMICAL,84,314,5,1,0,B
BUET,3.6,CHEMICAL,84,314,5,1,0,B
BUET,3.93,EEE,108,320,0,0,0.8,A
KU,3.5, CSE,113,314,0,0,0.95,A
SUST,3.81,CSE,82,317,2,0,3,C
CU,3.4,PHYSICS,103,330,2,0,2,C
 BUET,3.87, EEE,109,298,0,0,4,A
KUET,3.59,EEE,103,0,0,1,2,B
KUET,3.59,EEE,103,0,0,1,2,C
MIST,3.57,AE,93,306,4,1,25,D
