Undergrade CGPA,IELTS,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),University Class
3.27,0,91,0,2,4,1.5,E
3.27,0,91,0,2,4,1.5,E
3.52,7.6,0,0,0,0,0,E
3.67,0,96,301,2,1,2,F
3.36,7,0,0,0,0,2,B
3.62,0,108,320,1,0,0,E
3.2,6.5,0,303,0,0,1.5,E
3.2,6.5,0,303,0,0,1.5,C
3.2,6.5,0,303,0,0,1.5,D
3.2,6.5,0,303,0,0,1.5,F
3.42,,0,0,1,0,0.6,A
3.3,7.5,0,305,0,0,0.7,C
3.15,8,0,316,1,0,2,A
3.15,8,0,316,1,0,2,D
3.15,8,0,316,1,0,2,E
3.15,8,0,316,1,0,2,B
3.15,8,0,316,1,0,2,B
3.5,7,0,0,1,0,1,D
3.5,7,0,0,1,0,1,A
3.5,7,0,0,1,0,1,A
3.5,7,0,0,1,0,1,A
3.5,7,0,0,1,0,1,B
3.5,7,0,0,1,0,1,B
3.5,7,0,0,1,0,1,D
3.57,0,92,296,0,0,0,E
3.57,0,92,296,0,0,0,F
3.57,0,92,296,0,0,0,D
3.57,0,92,296,0,0,0,B
3.57,0,92,296,0,0,0,F
3.49,7.5,0,307,1,0,0,D
3.49,7.5,0,307,1,0,0,F
3.49,7.5,0,307,1,0,0,C
3.49,7.5,0,307,1,0,0,B
3.49,7.5,0,307,1,0,0,C
3.65,0,96,314,1,1,1.8,F
3.65,0,96,314,1,1,1.8,F
3.65,0,96,314,1,1,1.8,E
3.65,7,0,317,0,0,1,D
3.65,7,0,317,0,0,1,A
3.65,7,0,317,0,0,1,F
3.31,0,100,313,0,0,0.3,F
3.31,0,100,313,0,0,0.3,D
3.29,0,90,315,2,3,1.5,F
3.29,0,90,315,2,3,1.5,F
3.29,0,90,315,2,3,1.5,E
3.52,0,98,306,1,1,0,B
3.52,0,98,306,1,1,0,E
3.52,0,98,306,1,1,0,D
3.52,0,98,306,1,1,0,E
3.6,7,0,324,0,0,3,B
3.39,0,0,314,1,0,3,E
3.39,0,0,314,1,0,3,C
3.39,0,0,314,1,0,3,F
3.39,0,97,305,0,0,0,D
3.39,0,97,305,0,0,0,B
3.39,0,97,305,0,0,0,F
3.42,0,96,310,0,0,4,D
3.42,0,96,310,0,0,4,F
3.42,0,96,310,0,0,4,D
3.42,0,96,310,0,0,4,D
3.29,0,108,319,1,0,4,B
3.29,0,108,319,1,0,4,B
3.29,0,108,319,1,0,4,B
3.29,0,108,319,1,0,4,C
3.29,0,108,319,1,0,4,C
3.06,0,99,331,0,0,0.3,D
3.06,0,99,331,0,0,0.3,F
3.06,0,99,331,0,0,0.3,D
3.06,0,99,331,0,0,0.3,B
3.06,0,99,331,0,0,0.3,D
3.06,0,99,331,0,0,0.3,D
3.62,7,0,313,6,0,2.5,D
3.85,6.5,0,310,0,1,1.5,A
3.45,0,104,308,2,0,5,F
3.45,0,104,308,2,0,5,C
3.45,0,104,308,2,0,5,A
3.45,0,104,308,2,0,5,D
3.11,0,86,318,0,0,0,A
3.11,0,86,318,0,0,0,D
3.11,0,86,318,0,0,0,F
3.11,0,86,318,0,0,0,F
3.15,8,0,316,2,3,0,D
3.15,8,0,316,2,3,0,D
3.15,8,0,316,2,3,0,D
3.15,8,0,316,2,3,0,D
3.15,8,0,316,2,3,0,D
3.61,0,105,304,7,3,2,E
3.61,0,105,304,7,3,2,D
3.61,0,105,304,7,3,2,F
3.61,0,105,304,7,3,2,B
3.61,0,105,304,7,3,2,D
3.61,0,105,304,7,3,2,D
3.61,0,105,304,7,3,2,D
3.61,0,105,304,7,3,2,E
3.61,0,105,304,7,3,2,F
3.83,,112,327,1,0,1.6,A
3.41,,104,315,1,0,0.9,A
2.98,7,0,305,6,3,3.5,E
3.84,0,103,320,3,0,0.1,B
3.84,0,103,320,3,0,0.1,E
3.65,0,100,314,1,0,1,B
3.65,0,100,314,1,0,1,C
3.65,0,100,314,1,0,1,B
3.65,0,100,314,1,0,1,E
3.65,0,100,314,1,0,1,D
3.74,0,105,215,3,4,2,B
3.74,0,105,215,3,4,2,B
3.64,8,0,310,1,0,0.3,D
3.64,8,0,310,1,0,0.3,A
3.64,8,0,310,1,0,0.3,A
3.81,8,0,318,1,2,0,B
3.71,,87,315,0,0,0.6,C
3.46,0,88,312,2,1,0,D
2.93,0,0,308,10,0,0,C
3.81,0,109,322,2,1,0.95,A
3.81,0,109,322,2,1,0.95,B
3.81,0,109,322,2,1,0.95,A
3.08,0,107,319,0,0,0.3,D
3.95,7,0,312,0,1,0,E
3.95,7,0,312,0,1,0,F
3.58,0,117,325,0,0,0,B
3.58,0,117,325,0,0,0,B
3.58,0,117,325,0,0,0,C
3.82,0,96,315,0,0,0.6,C
3.82,0,96,315,0,0,0.6,E
3.29,0,90,315,2,3,1.5,E
3.29,0,90,315,2,3,1.5,F
3.59,0,103,317,4,0,2,C
3.59,0,103,317,4,0,2,D
3.59,0,103,317,4,0,2,C
3.85,0,90,315,1,0,5,D
3.13,0,94,308,1,0,2,C
3.13,0,94,308,1,0,2,A
3.13,0,94,308,1,0,2,E
3.6,0,84,314,5,1,0,C
3.6,0,84,314,5,1,0,C
3.93,0,108,320,0,0,0.8,A
3.5,8,0,314,0,0,0.95,A
3.81,0,82,317,2,0,3,D
3.4,0,103,330,2,0,2,D
3.87,0,109,298,0,0,4,A
3.59,0,103,0,0,1,2,C
3.59,0,103,0,0,1,2,D
3.57,6.5,0,306,4,1,25,F
3.57,6.5,0,306,4,1,25,E
3.14,0,105,307,8,0,0.7,B
3.14,0,105,307,8,0,0.7,B
3.14,0,105,307,8,0,0.7,E
3.14,0,105,307,8,0,0.7,D
3.14,0,105,307,8,0,0.7,D
3.9,0,100,315,1,0,7,C
